Artist,Single,Released,Sales(in millions),Source
Robin Thicke featuring T.I. and Pharrell,"""Blurred Lines""",2013,14.8,
Maroon 5 featuring Christina Aguilera,"""Moves Like Jagger""",2011,14.4,
Kesha,"""Tik Tok""",2009,14,
Lady Gaga,"""Poker Face""",2008,14,
Pharrell Williams,"""Happy""",2013,13.9,
Psy,"""Gangnam Style""",2012,13.5,
Maroon 5,"""Sugar""",2015,13.5,
Post Malone and Swae Lee,"""Sunflower""",2018,13.4,
Macklemore and Ryan Lewis featuring Wanz,"""Thrift Shop""",2012,13.4,
Ariana Grande,"""7 Rings""",2019,13.3,
Katy Perry featuring Juicy J,"""Dark Horse""",2013,13.2,
Major Lazer & DJ Snake featuring MÃ˜,"""Lean On""",2015,13.1,
Gotye featuring Kimbra,"""Somebody That I Used to Know""",2011,13,
Ellie Goulding,"""Love Me like You Do""",2015,12.6,
Drake featuring Wizkid and Kyla,"""One Dance""",2016,12.5,
Bruno Mars,"""Just the Way You Are""",2010,12.5,
Adele,"""Hello""",2015,12.3,
John Legend,"""All of Me""",2013,12.3,
Jason Mraz,"""I'm Yours""",2008,12.2,
Flo Rida featuring Kesha,"""Right Round""",2009,12,
Flo Rida featuring T-Pain,"""Low""",2007,12,
Lady Gaga,"""Bad Romance""",2009,12,
Maroon 5 featuring Cardi B,"""Girls Like You""",2018,11.9,
Justin Bieber,"""Love Yourself""",2015,11.7,
Tones and I,"""Dance Monkey""",2019,11.4,
Avicii featuring Aloe Blacc,"""Wake Me Up""",2013,11.1,
Sia featuring Sean Paul,"""Cheap Thrills""",2016,11.1,
Meghan Trainor,"""All About That Bass""",2014,11,
Tia Ray,"""Be Apart""",2018,10.9,
Idina Menzel,"""Let It Go""",2013,10.9,
Justin Bieber,"""Sorry""",2015,10.8,
Lukas Graham,"""7 Years""",2015,10.4,
Ed Sheeran and Justin Bieber,"""I Don't Care""",2019,10.3,
Lady Gaga and Bradley Cooper,"""Shallow""",2018,10.2,
The Chainsmokers featuring Daya,"""Don't Let Me Down""",2016,10.2,
Lorde,"""Royals""",2013,10,
Bruno Mars,"""Grenade""",2010,10.2,
Mike Posner,"""I Took a Pill in Ibiza""",2015,10,
Shakira featuring Freshlyground,"""Waka Waka (This Time for Africa)""",2010,10,
Shakira featuring Wyclef Jean,"""Hips Don't Lie""",2006,10,
Lady Gaga featuring Colby O'Donis,"""Just Dance""",2008,10,
